DPDHS Division,Dengue Fever / DHF*,,Dysentery,,Encephalitis,,Enteric Fever,,Food Poisoning,,Leptos- pirosis,,Typhus Fever,,Viral Hepatitis,,Returns Re- ceived Timely**
,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,%
Colombo,71,3419,02,356,00,07,00,82,00,45,01,143,00,04,00,69,93
Gampaha,12,1774,00,331,00,10,00,59,00,147,00,211,00,12,00,153,71
Kalutara,12,977,06,506,01,08,00,84,11,72,02,136,00,06,00,47,70
Kandy,20,1509,05,452,00,09,00,115,00,35,01,101,04,107,00,139,77
Matale,04,389,00,344,00,07,00,19,00,21,00,31,00,02,01,30,75
Nuwara Eliya,01,42,01,353,00,00,00,193,00,19,00,12,00,45,01,289,71
Galle,01,260,02,196,00,03,00,13,00,12,00,72,00,21,00,04,25
Hambantota,01,217,01,100,00,09,01,35,00,32,00,51,02,92,00,59,80
Matara,11,537,03,199,02,11,02,81,00,36,06,176,06,253,00,15,100
Jaffna,00,53,00,141,00,04,00,176,00,27,00,03,00,141,00,78,00
Kilinochchi,00,02,00,23,00,00,00,06,00,24,00,00,00,00,00,09,00
Mannar,00,03,00,57,00,00,00,139,00,03,00,01,00,00,00,10,00
Vavuniya,03,20,00,153,00,05,00,96,01,84,00,02,00,00,00,08,50
Mullaitivu,00,02,00,24,00,01,00,36,00,09,00,00,00,00,00,10,00
Batticaloa,00,63,00,242,00,03,00,40,00,16,00,06,00,00,00,215,40
Ampara,00,33,02,263,00,00,00,12,00,04,00,15,00,04,00,19,14
Trincomalee,00,42,02,218,00,01,02,45,00,42,01,03,00,04,00,175,56
Kurunegala,16,681,04,553,00,05,02,87,00,44,00,74,01,34,00,64,65
Puttalam,06,398,01,329,02,03,00,115,00,07,00,21,00,02,00,154,56
Anuradhapura,04,131,04,446,03,08,00,44,00,28,01,47,02,27,02,64,53
Polonnaruwa,01,84,05,155,00,01,00,10,00,124,00,22,00,05,00,23,57
Badulla,02,154,01,786,00,04,00,119,00,45,01,39,00,168,03,184,53
Monaragala,00,43,04,367,00,07,00,76,00,23,01,31,00,98,00,72,80
Ratnapura,01,542,08,758,01,19,01,110,00,39,01,79,01,38,01,189,47
Kegalle,01,481,01,279,00,03,00,59,00,16,03,289,00,62,00,396,45
Kalmunai,00,46,02,252,00,01,00,75,00,17,00,03,00,01,02,264,25
SRI LANKA,167,11902,54,7883,09,129,8,1926,12,971,18,1568,16,1126,10,2739,57
